timestamp,load_mw,pv_capacity_factor,ghi_w_per_m2,temperature_c,pv_source,case_id,load_source
2025-01-01 00:00:00,0.9758,0.0,0.0,26.16,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-01 01:00:00,0.9399,0.0,0.0,27.98,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-01 02:00:00,1.007,0.0,0.0,25.06,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-01 03:00:00,1.0344,0.0,0.0,25.19,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-01 04:00:00,0.9767,0.0,0.0,21.94,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-01 05:00:00,1.0363,0.0,0.0,21.12,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-01 06:00:00,1.1207,0.0,0.0,22.61,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-01 07:00:00,1.1357,0.13021,651.1,23.11,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-01 08:00:00,1.1594,0.25155,1000.0,21.58,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-01 09:00:00,1.1344,0.35574,1000.0,19.69,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-01 10:00:00,1.187,0.43569,1000.0,19.88,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-01 11:00:00,1.1826,0.48595,1000.0,20.26,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-01 12:00:00,1.1637,0.50309,1000.0,20.37,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-01 13:00:00,1.2077,0.48595,1000.0,23.91,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-01 14:00:00,1.2031,0.43569,1000.0,26.21,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-01 15:00:00,1.1869,0.35574,1000.0,25.28,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-01 16:00:00,1.2661,0.25155,1000.0,22.63,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-01 17:00:00,1.2721,0.13021,651.1,26.36,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-01 18:00:00,1.3824,0.0,0.0,26.88,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-01 19:00:00,1.3847,0.0,0.0,30.56,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-01 20:00:00,1.3816,0.0,0.0,25.34,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-01 21:00:00,1.3285,0.0,0.0,26.83,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-01 22:00:00,1.3235,0.0,0.0,29.68,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-01 23:00:00,1.1957,0.0,0.0,27.32,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-02 00:00:00,0.9536,0.0,0.0,26.86,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-02 01:00:00,0.9614,0.0,0.0,25.47,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-02 02:00:00,1.0006,0.0,0.0,25.01,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-02 03:00:00,1.0168,0.0,0.0,24.91,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-02 04:00:00,1.0507,0.0,0.0,21.8,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-02 05:00:00,1.0913,0.0,0.0,23.71,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-02 06:00:00,1.1856,0.0,0.0,19.86,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-02 07:00:00,1.1332,0.1498,749.0,22.11,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-02 08:00:00,1.1439,0.2894,1000.0,21.78,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-02 09:00:00,1.1361,0.40927,1000.0,20.69,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-02 10:00:00,1.1789,0.50125,1000.0,21.88,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-02 11:00:00,1.1944,0.55908,1000.0,21.46,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-02 12:00:00,1.1584,0.5788,1000.0,21.41,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-02 13:00:00,1.1447,0.55908,1000.0,23.21,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-02 14:00:00,1.1618,0.50125,1000.0,22.86,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-02 15:00:00,1.2363,0.40927,1000.0,25.78,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-02 16:00:00,1.2788,0.2894,1000.0,24.29,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-02 17:00:00,1.322,0.1498,749.0,27.71,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-02 18:00:00,1.3315,0.0,0.0,25.34,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-02 19:00:00,1.3946,0.0,0.0,26.57,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-02 20:00:00,1.3921,0.0,0.0,26.58,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-02 21:00:00,1.3587,0.0,0.0,29.4,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-02 22:00:00,1.3123,0.0,0.0,27.61,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-02 23:00:00,1.2083,0.0,0.0,26.32,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-03 00:00:00,0.9881,0.0,0.0,26.76,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-03 01:00:00,0.9748,0.0,0.0,22.13,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-03 02:00:00,0.9934,0.0,0.0,24.45,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-03 03:00:00,1.0255,0.0,0.0,26.73,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-03 04:00:00,0.9927,0.0,0.0,23.21,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-03 05:00:00,1.068,0.0,0.0,22.49,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-03 06:00:00,1.1025,0.0,0.0,22.74,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-03 07:00:00,1.1262,0.15923,796.2,22.96,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-03 08:00:00,1.152,0.30762,1000.0,18.52,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-03 09:00:00,1.2108,0.43503,1000.0,19.09,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-03 10:00:00,1.1318,0.53281,1000.0,22.23,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-03 11:00:00,1.1896,0.59427,1000.0,21.32,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-03 12:00:00,1.1087,0.61523,1000.0,24.98,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-03 13:00:00,1.1614,0.59427,1000.0,23.26,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-03 14:00:00,1.1941,0.53281,1000.0,21.61,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-03 15:00:00,1.2346,0.43503,1000.0,23.39,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-03 16:00:00,1.2782,0.30762,1000.0,21.89,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-03 17:00:00,1.3307,0.15923,796.2,26.28,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-03 18:00:00,1.3424,0.0,0.0,26.83,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-03 19:00:00,1.3718,0.0,0.0,26.77,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-03 20:00:00,1.4174,0.0,0.0,29.13,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-03 21:00:00,1.3456,0.0,0.0,29.21,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-03 22:00:00,1.2423,0.0,0.0,26.85,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-03 23:00:00,1.165,0.0,0.0,23.43,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-04 00:00:00,0.9089,0.0,0.0,26.93,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-04 01:00:00,0.9576,0.0,0.0,26.12,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-04 02:00:00,0.9585,0.0,0.0,24.97,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-04 03:00:00,0.9967,0.0,0.0,25.2,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-04 04:00:00,0.9941,0.0,0.0,21.26,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-04 05:00:00,1.052,0.0,0.0,25.4,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-04 06:00:00,1.1059,0.0,0.0,20.47,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-04 07:00:00,1.1053,0.14525,726.3,22.73,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-04 08:00:00,1.1438,0.2806,1000.0,18.98,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-04 09:00:00,1.1099,0.39683,1000.0,20.22,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-04 10:00:00,1.1164,0.48602,1000.0,24.18,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-04 11:00:00,1.1147,0.54208,1000.0,22.0,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
2025-01-04 12:00:00,1.0928,0.5612,1000.0,24.27,synthetic,philippines_offgrid_reference,calibrated_synthetic_archetype
